timestamp,dataset,data_source,architecture,selection_time_seconds,final_train_time_seconds,inference_time_seconds,total_time_seconds,best_val_metric,final_best_val_metric,final_test_metric,best_params,metric
2025-10-29 11:29:15,avito-user-clicks,fit-best-table,resnet,14.416941404342651,17.417500495910645,0.7804298400878906,32.61487174034119,0.6169893427888964,0.6169893427888964,0.6965621411152138,"[64, 256, 128, 256]",roc_auc
2025-10-29 11:39:03,event-user-attendance,fit-best-table,resnet,474.5990881919861,42.58066391944885,0.11144065856933594,517.2911927700043,0.2675950229167938,0.2675950229167938,0.2651906907558441,"[64, 128, 256, 128]",mae
2025-10-29 11:46:02,event-user-repeat,fit-best-table,resnet,361.2468626499176,25.706751823425293,0.01758408546447754,386.9711985588074,0.6151895206243033,0.6151895206243033,0.7933823529411764,"[128, 256, 128, 256]",roc_auc
2025-10-29 11:47:51,hm-item-sales,fit-best-table,resnet,7.581091403961182,65.1364860534668,1.7188222408294678,74.43639969825745,0.09814663976430893,0.09814663976430893,0.0495532862842083,"[128, 256, 128, 256]",mae
2025-10-29 11:49:31,hm-user-churn,fit-best-table,resnet,10.845383644104004,52.09244704246521,1.3513219356536865,64.2891526222229,0.6474068467722286,0.6474068467722286,0.6580102676753786,"[128, 256, 128, 256]",roc_auc
2025-10-29 11:50:50,ratebeer-beer-positive,fit-best-table,resnet,23.31351923942566,34.64931917190552,0.14756059646606445,58.11039900779724,0.2638472020626068,0.2638472020626068,0.17902547121047974,"[256, 256, 128, 256]",mae
2025-10-29 11:51:50,ratebeer-user-active,fit-best-table,resnet,31.13563871383667,21.168957471847534,0.06785106658935547,52.37244725227356,0.8438443755840835,0.8438443755840835,0.8889624084828903,"[32, 256, 128, 256]",roc_auc
2025-10-29 11:52:41,trial-site-success,fit-best-table,resnet,7.673697233200073,22.484992027282715,0.4981391429901123,30.6568284034729,0.4605257511138916,0.4605257511138916,0.3621287941932678,"[64, 256, 128, 256]",mae
2025-10-29 11:53:19,trial-study-outcome,fit-best-table,resnet,11.330498695373535,16.104443788528442,0.034655094146728516,27.469597578048706,0.6477825579992763,0.6477825579992763,0.6894591551342123,"[32, 256, 64, 256]",roc_auc
2025-10-29 11:54:00,avito-user-clicks,fit-medium-table,resnet,6.12979793548584,26.804883241653442,0.5037565231323242,33.438437700271606,0.5185495369528139,0.5185495369528139,0.6568833673058534,"[128, 256, 128, 256]",roc_auc
2025-10-29 11:54:29,event-user-attendance,fit-medium-table,resnet,5.259305715560913,14.481902837753296,0.03430604934692383,19.775514602661133,0.2779267430305481,0.2779267430305481,0.23809053003787994,"[64, 128, 256, 128]",mae
2025-10-29 11:54:51,event-user-repeat,fit-medium-table,resnet,6.572839736938477,9.391756057739258,0.00515437126159668,15.969750165939331,0.6420289855072464,0.6420289855072464,0.7602941176470588,"[128, 256, 128, 256]",roc_auc
2025-10-29 11:56:31,hm-item-sales,fit-medium-table,resnet,6.7834694385528564,46.73833417892456,1.4227573871612549,54.94456100463867,0.09962178021669388,0.09962178021669388,0.04970903694629669,"[256, 256, 32, 256]",mae
2025-10-29 11:57:14,hm-user-churn,fit-medium-table,resnet,5.976638317108154,15.269371509552002,0.7796988487243652,22.02570867538452,0.5592003063426744,0.5592003063426744,0.6225745090434345,"[256, 128, 256, 128]",roc_auc
2025-10-29 11:57:56,ratebeer-beer-positive,fit-medium-table,resnet,6.740787506103516,26.97310495376587,0.09581923484802246,33.80971169471741,0.30279138684272766,0.30279138684272766,0.1819746047258377,"[64, 256, 128, 256]",mae
2025-10-29 11:58:22,ratebeer-user-active,fit-medium-table,resnet,7.453231573104858,7.497574090957642,0.04476428031921387,14.995569944381714,0.8383658349059901,0.8383658349059901,0.9399960777815832,"[256, 64, 256, 128]",roc_auc
2025-10-29 11:58:57,trial-site-success,fit-medium-table,resnet,5.950730800628662,11.404087543487549,0.3361034393310547,17.690921783447266,0.4627297520637512,0.4627297520637512,0.45230215787887573,"[128, 256, 128, 256]",mae
2025-10-29 11:59:21,trial-study-outcome,fit-medium-table,resnet,7.550448179244995,7.504317283630371,0.021425724029541016,15.076191186904907,0.6298075849159441,0.6298075849159441,0.7040971995205405,"[128, 256, 128, 256]",roc_auc
2025-10-29 11:59:45,avito-ad-ctr,flatten-table,resnet,4.871612071990967,8.543119668960571,0.03289198875427246,13.44762372970581,0.05454225093126297,0.05454225093126297,0.04244663193821907,"[128, 256, 128, 256]",mae
2025-10-29 12:00:14,avito-user-clicks,flatten-table,resnet,6.052501916885376,14.96172547340393,0.45006656646728516,21.464293956756592,0.528053842329494,0.528053842329494,0.541122277051048,"[128, 256, 64, 256]",roc_auc
2025-10-29 12:00:46,event-user-attendance,flatten-table,resnet,5.957384347915649,15.88614296913147,0.03149986267089844,21.875027179718018,0.27890950441360474,0.27890950441360474,0.26429077982902527,"[128, 256, 128, 256]",mae
2025-10-29 12:01:05,event-user-repeat,flatten-table,resnet,6.037099838256836,5.62190055847168,0.004607677459716797,11.663608074188232,0.6414715719063544,0.6414715719063544,0.7006016042780748,"[128, 256, 64, 256]",roc_auc
2025-10-29 12:03:15,hm-item-sales,flatten-table,resnet,6.340399980545044,83.77846360206604,1.8941552639007568,92.01301884651184,0.09770754724740982,0.09770754724740982,0.07775934785604477,"[256, 128, 256, 128]",mae
2025-10-29 12:04:27,hm-user-churn,flatten-table,resnet,5.919364929199219,40.79937481880188,0.6888530254364014,47.4075927734375,0.5447111147818106,0.5447111147818106,0.5472559107119762,"[64, 256, 128, 256]",roc_auc
2025-10-29 12:05:11,ratebeer-beer-positive,flatten-table,resnet,6.1917760372161865,25.0533127784729,0.0970313549041748,31.34212017059326,0.27577686309814453,0.27577686309814453,0.20590965449810028,"[128, 256, 64, 256]",mae
2025-10-29 12:05:39,ratebeer-user-active,flatten-table,resnet,5.849151849746704,13.096948862075806,0.0393218994140625,18.985422611236572,0.785573754365255,0.785573754365255,0.8991703145726889,"[256, 128, 256]",roc_auc
2025-10-29 12:06:10,trial-site-success,flatten-table,resnet,5.718874454498291,9.158581495285034,0.403472900390625,15.28092885017395,0.4626898765563965,0.4626898765563965,0.4334767460823059,"[128, 256, 64, 256]",mae
2025-10-29 12:06:31,trial-study-outcome,flatten-table,resnet,5.6329381465911865,6.101367235183716,0.022492170333862305,11.756797552108765,0.6476351306072667,0.6476351306072667,0.6938481469373918,"[128, 256, 128, 256]",roc_auc
